Type,allowed_to_establish,is existing,is_thermal,is_VRE,Density(MW/km2),CAPEX($/kw) (2035),FOM ($/kW-yr),VOM ($/MWh),Carbon capture rate,Heat Rate  (MMBtu/MWh),Lifetime (year),Decom. cost ($) per plant,Nameplate capacity (MW),Minimum stable output (%),Minimum stable output (MW),Hourly Ramp rate (%),Min up time,Min down time,Max yearly gen capacity (MWh),Emission rate (kg/MMBtu),Startup Cost (per  plant),Startup Fuel (MMBtu)
ng,0,1,1,0,-1,0,21,5,0,8.7,0,5.00E+06,137,0.31,53,0.96,1,1,1.41E+08,52.84245,4.52E+04,4120
wind,0,1,0,1,3,0,43,0,1,0,0,1.00E+06,47,0,0,1,0,0,8.14E+06,0,0.00E+00,0
hydro,0,1,0,1,-1,0,78,0,1,0,0,0.00E+00,15,0.28,7,1,0,0,2.28E+07,0,0.00E+00,0
nuclear,0,1,1,0,-1,0,145,2,1,10.6,0,3.00E+08,933,0.42,394,0.25,12,12,3.27E+07,0,4.60E+04,0
OCGT,1,0,1,0,-1,780,21,5,0,9.72,30,0,237,0.25,237,1,1,1,0.00E+00,53.001,8.00E+03,45
CCGT,1,0,1,0,-1,1499,35,2.17,0,6.363,30,0,573,0.33,0,1,4,4,0.00E+00,53.7258,4.52E+04,4120
CCGT-CCS,1,0,1,0,-1,2167,65,6,0.9,7.16,30,0,400,0.5,0,1,4,4,0.00E+00,5.3907,3.79E+04,3451
solar-UPV,1,0,0,1,24,1483,24,0,1,0,30,0,1,0,0,1,0,0,0.00E+00,0,0.00E+00,0
wind-new,1,0,0,1,3,1666,32,0,1,0,30,0,1,0,0,1,0,0,0.00E+00,0,0.00E+00,0
wind-offshore-new,0,0,0,1,4,4399,91,0,1,0,30,0,1,0,0,1,0,0,0.00E+00,0,0.00E+00,0
nuclear-new,1,0,1,0,-1,6152,145,2,1,10.46,60,0,360,0.5,90,0.25,12,12,0.00E+00,0,4.60E+04,0
